MOD_NAME,DEF_NAME,ITEM_INDEX,BODYTYPE_DEF,SOUTH_X,SOUTH_Y,EAST_X,EAST_Y,NORTH_X,NORTH_Y
Half dragons,BaseDragon,8,F_005_Thick,1000,1000,1000,1000,1000,1000
Half dragons,BaseDragon,8,F_006_Chonky,1000,1000,1000,1000,1000,1000
Half dragons,BaseDragon,8,F_010_Chubby,1000,1000,1000,1000,1000,1000
Half dragons,BaseDragon,8,F_020_Corpulent,1000,1000,1000,1000,1000,1000
Half dragons,BaseDragon,8,F_030_Fat,1000,1000,1000,1000,1000,1000
Half dragons,BaseDragon,8,F_040_Obese,1000,1000,1000,1000,1000,1000
Half dragons,BaseDragon,8,F_050_MorbidlyObese,1000,1000,1000,1000,1000,1000
Half dragons,BaseDragon,8,F_060_Lardy,1000,1000,1000,1000,1000,1000
Half dragons,BaseDragon,8,F_070_Enormous,1000,1000,1000,1000,1000,1000
Half dragons,BaseDragon,8,F_080_Gigantic,1000,1000,1000,1000,1000,1000
Half dragons,BaseDragon,8,F_090_Titanic,1000,1000,1000,1000,1000,1000
Half dragons,BaseDragon,8,F_100_Gelatinous,1000,1000,1000,1000,1000,1000
Half dragons,BaseDragon,9,M_005_Thick,1000,1000,1000,1000,1000,1000
Half dragons,BaseDragon,9,M_006_Chonky,1000,1000,1000,1000,1000,1000
Half dragons,BaseDragon,9,M_010_Chubby,1000,1000,1000,1000,1000,1000
Half dragons,BaseDragon,9,M_020_Corpulent,1000,1000,1000,1000,1000,1000
Half dragons,BaseDragon,9,M_030_Fat,1000,1000,1000,1000,1000,1000
Half dragons,BaseDragon,9,M_040_Obese,1000,1000,1000,1000,1000,1000
Half dragons,BaseDragon,9,M_050_MorbidlyObese,1000,1000,1000,1000,1000,1000
Half dragons,BaseDragon,9,M_060_Lardy,1000,1000,1000,1000,1000,1000
Half dragons,BaseDragon,9,M_070_Enormous,1000,1000,1000,1000,1000,1000
Half dragons,BaseDragon,9,M_080_Gigantic,1000,1000,1000,1000,1000,1000
Half dragons,BaseDragon,9,M_090_Titanic,1000,1000,1000,1000,1000,1000
Half dragons,BaseDragon,9,M_100_Gelatinous,1000,1000,1000,1000,1000,1000
Half dragons,BaseDragon,8,Thin,1000,1000,1000,1000,1000,1000
Half dragons,BaseDragon,9,Thin,1000,1000,1000,1000,1000,1000
Half dragons,BaseDragon,7,F_005_Thick,0.12,0.16,0.31,0.08,0.01,0
Half dragons,BaseDragon,7,F_006_Chonky,0.12,0.16,0.36,0.09,0.02,0
Half dragons,BaseDragon,7,F_010_Chubby,0.12,0.16,0.43,0.1,0,-0.03
Half dragons,BaseDragon,7,F_020_Corpulent,0.12,0.16,0.55,0.15,0,-0.01
Half dragons,BaseDragon,7,F_030_Fat,0.12,0.16,0.61,0.22,0.02,0.05
Half dragons,BaseDragon,7,F_040_Obese,0.12,0.16,0.65,0.33,0.02,0.06
Half dragons,BaseDragon,7,F_050_MorbidlyObese,0.12,0.16,0.84,0.34,-0.01,0.03
Half dragons,BaseDragon,7,F_060_Lardy,0.12,0.16,0.74,0.43,-0.01,0.2
Half dragons,BaseDragon,7,F_070_Enormous,0.12,0.16,1.12,0.23,0.02,0.05
Half dragons,BaseDragon,7,F_080_Gigantic,0.12,0.16,1.12,0.29,-0.02,0.04
Half dragons,BaseDragon,7,F_090_Titanic,0.12,0.16,1.12,0.29,-0.02,0.19
Half dragons,BaseDragon,7,F_100_Gelatinous,0.12,0.16,1.12,0.29,0.03,-0.48
Half dragons,BaseDragon,7,M_005_Thick,0.12,0.16,0.36,0.08,0.01,-0.005
Half dragons,BaseDragon,7,M_006_Chonky,0.12,0.16,0.36,0.04,0.03,0.025
Half dragons,BaseDragon,7,M_010_Chubby,0.12,0.16,0.4,0.04,0.01,-0.115
Half dragons,BaseDragon,7,M_020_Corpulent,0.12,0.16,0.56,0.12,0.05,-0.045
Half dragons,BaseDragon,7,M_030_Fat,0.12,0.16,0.62,0.17,0.03,-0.045
Half dragons,BaseDragon,7,M_040_Obese,0.12,0.16,0.75,0.22,0.03,0.035
Half dragons,BaseDragon,7,M_050_MorbidlyObese,0.12,0.16,0.75,0.33,0.02,0.165
Half dragons,BaseDragon,7,M_060_Lardy,0.12,0.16,0.82,0.47,0.08,0.275
Half dragons,BaseDragon,7,M_070_Enormous,0.12,0.16,0.82,0.34,0.06,0.075
Half dragons,BaseDragon,7,M_080_Gigantic,0.12,0.16,0.82,0.34,0.03,-0.165
Half dragons,BaseDragon,7,M_090_Titanic,0.12,0.16,0.82,0.34,-0.05,0.235
Half dragons,BaseDragon,7,M_100_Gelatinous,0.12,0.16,0.82,0.34,0,-0.525
Half dragons,BaseDragon,7,Thin,0.12,0.16,0.36,0.08,0,0
