MOD_NAME,DEF_NAME
Anthro Race,Anthro
The Drow Race Continued,Alien_Drow_Otto
NewRatkinPlus,Ratkin
Orassans,Alien_OrassanHumanHybrid
Orassans,Alien_Orassan
Anty the war ant race,Anty
Moonjelly Race,Moonjelly_Race
Moonjelly Race (Continued),Moonjelly_Race
Outer Rim Galaxies,O21_OR_Abednedo
Outer Rim Galaxies,O21_OR_Aqualish
Outer Rim Galaxies,O21_OR_Bith
Outer Rim Galaxies,O21_OR_Cerean
Outer Rim Galaxies,O21_OR_Devaronian
Outer Rim Galaxies,O21_OR_Duros
Outer Rim Galaxies,O21_OR_Iktotchi
Outer Rim Galaxies,O21_OR_Iridonian
Outer Rim Galaxies,O21_OR_Ithorian
Outer Rim Galaxies,O21_OR_Mirialan
Outer Rim Galaxies,O21_OR_Neimoidian
Outer Rim Galaxies,O21_OR_Nikto
Outer Rim Galaxies,O21_OR_Selkath
Outer Rim Galaxies,O21_OR_Sith
Outer Rim Galaxies,O21_OR_Togruta
Outer Rim Galaxies,O21_OR_Trandoshan
Outer Rim Galaxies,O21_OR_Twilek
Erin's Miqo'te,MQT_Miqote
Foxbold Race,AFoxbold
Dogbold Race,Alien_Dogbold
Equiums,Alien_PEquium
Equiums,Alien_KEquium
Equiums,Alien_Equium
Equiums,Alien_SMaleEquium
Forgotten Realms,O21_FR_Tiefling
Forgotten Realms,O21_FR_WoodElf
Forgotten Realms,O21_FR_Tabaxi
Forgotten Realms,O21_FR_SunElf
Forgotten Realms,O21_FR_Orc
Forgotten Realms,O21_FR_MoonElf
Forgotten Realms,O21_FR_Kobold
Forgotten Realms,O21_FR_Killoren
Forgotten Realms,O21_FR_Illithid
Forgotten Realms,O21_FR_Hobgoblin
Forgotten Realms,O21_FR_HalfOrc
Forgotten Realms,O21_FR_Halfling
Forgotten Realms,O21_FR_Goblin
Forgotten Realms,O21_FR_Gith
Forgotten Realms,O21_FR_Firbolg
Forgotten Realms,O21_FR_Dwarf
Forgotten Realms,O21_FR_DarkElf
Forgotten Realms,O21_FR_Chitine
Protogen! Marley Race Mod,Alien_ProtogenNME
Protogen! Marley Race Mod,Alien_Protogen
Minotaur Race,MinotaurRace
Xenohumans - Anthromorphs,ATK_Avianmorph
Xenohumans - Anthromorphs,ATK_Bovinemorph
Xenohumans - Anthromorphs,ATK_Caninemorph
Xenohumans - Anthromorphs,ATK_Cervinemorph
Xenohumans - Anthromorphs,ATK_Dragomorph
Xenohumans - Anthromorphs,ATK_Felinemorph
Xenohumans - Anthromorphs,ATK_Gnollmorph
Xenohumans - Anthromorphs,ATK_Lagomorph
Xenohumans - Anthromorphs,ATK_Vulpinemorph
[EAVE] Sylveon Race,EA_SylveonRace
Ferrex Race (Continued),Alien_Ferrex
[TP]Dreemurr Race (Continued),TRAHS_DreemurrRace
[TP]Furret Race,TRAHS_FurretRace
Rim-Effect: Asari and Reapers,RE_Asari
Half dragons,HalfDragon
Half dragons,HalfDragon_colonist
Stickmen Race,Stick_Stickman
Vulpine Race Pack (Continued),Alien_Fennex
Vulpine Race Pack (Continued),Alien_Frijjid
Oompa Loompas,Alien_Loompa
Androids,ChjAndroid
Fantasy Goblins Updated,Fantasy_Goblin
[TP]Lucario,MegaLucario
[TP]Lucario,Lucario
Xenohumans - Gen-spliced Xenos on the Rim,DesignerMatesXH
Xenohumans - Gen-spliced Xenos on the Rim,ScaleManXH
Xenohumans - Gen-spliced Xenos on the Rim,SoldiermorphXH
Xenohumans - Gen-spliced Xenos on the Rim,WolfManXH
Xenohumans Expanded,GlitterWorlderRace
Xenohumans Expanded,HighGravWorlderRace
Xenohumans Expanded,LowGravWorlderRace
Xenohumans Expanded,RadWorlderRace
Xenohumans Expanded,VatgrownHumanRace
Rabbie The Moonrabbit race,Rabbie
Kolra's Oni Race Mod (Continued),Alien_RedOni
Kolra's Oni Race Mod (Continued),Alien_GreenOni
Kolra's Oni Race Mod (Continued),Alien_BlueOni
