MOD_NAME,DEF_NAME,ITEM_INDEX,TRUTH_VALUE
The Drow Race Continued,Alien_Drow_Otto,1,TRUE
Revia Race,ReviaRaceAlien,2,TRUE
Revia Race,ReviaRaceAlien,3,TRUE
NewRatkinPlus,Ratkin,2,TRUE
NewRatkinPlus,Ratkin,3,TRUE
Anty the war ant race,Anty,1,TRUE
Anty the war ant race,Anty,2,TRUE
Anty the war ant race,Anty,3,TRUE
Anty the war ant race,Anty,4,TRUE
Anty the war ant race,Anty,6,TRUE
[O21] Forgotten Realms,O21_FR_Chitine,1,TRUE
[TP]Dreemurr Race,TRAHS_DreemurrRace,1,TRUE
[TP]Dreemurr Race,TRAHS_DreemurrRace,2,TRUE
[TP]Dreemurr Race,TRAHS_DreemurrRace,3,TRUE
[TP]Dreemurr Race,TRAHS_DreemurrRace,4,TRUE
